mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K01334.01,289.7439,39.286301,8.6531216,4.39,654.8,22.58,0.852,5421.0,4.564,35.7,FALSE POSITIVE,kepler_koi
KEPLER,K00162.01,295.16382,43.963039,14.00640392,4.6919,716.4,3.11,1.124,5788.0,4.323,109.3,CONFIRMED,kepler_koi
KEPLER,K01336.04,296.35867,39.115189,4.45814897,2.867,188.1,1.61,1.083,6100.0,4.376,14.3,CONFIRMED,kepler_koi
KEPLER,K01337.01,285.61746,39.379532,1.922799706,1.8604,259.7,1.28,0.815,5194.0,4.559,30.1,CONFIRMED,kepler_koi
KEPLER,K01338.01,292.27612,39.550179,3.222975318,2.9247,232.7,1.47,0.96,5823.0,4.427,31.3,CONFIRMED,kepler_koi
KEPLER,K01338.02,292.27612,39.550179,42.0370662,6.282,266.8,1.66,0.96,5823.0,4.427,14.7,CANDIDATE,kepler_koi
KEPLER,K01338.03,292.27612,39.550179,21.0112068,4.507,163.6,1.4,0.96,5823.0,4.427,10.2,CANDIDATE,kepler_koi
KEPLER,K01339.01,284.58255,39.220211,4.16811839,2.8084,263.0,2.28,1.313,5689.0,4.202,26.7,CONFIRMED,kepler_koi
KEPLER,K00001.01,286.80847,49.316399,2.470613377,1.74319,14230.9,13.04,0.964,5820.0,4.457,4304.3,CONFIRMED,kepler_koi
KEPLER,K00002.01,292.24728,47.969521,2.204735417,3.88864,6674.7,16.1,1.952,6440.0,4.019,5945.9,CONFIRMED,kepler_koi
KEPLER,K00011.01,291.06152,50.265129,3.747838198,5.0642,616.0,13.65,0.826,5514.0,4.569,138.2,FALSE POSITIVE,kepler_koi
KEPLER,K00112.02,295.64871,48.49556,3.709214104,2.6302,131.1,1.16,1.022,5833.0,4.407,50.6,CONFIRMED,kepler_koi
