mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K03902.01,283.78958,47.806431,2.69634575,3.785,185.2,1.46,1.051,5418.0,4.335,35.4,FALSE POSITIVE,kepler_koi
KEPLER,K03903.01,298.45837,40.39193,2.553924603,9.835,1680.1,32.67,0.986,5993.0,4.489,100.5,FALSE POSITIVE,kepler_koi
KEPLER,K00372.01,299.12244,41.86676,125.6291479,9.108,7841.6,10.02,1.111,5819.0,4.334,150.4,CONFIRMED,kepler_koi
KEPLER,K03904.01,299.52237,40.611252,8.56751264,5.449,347.9,23.05,1.054,6212.0,4.42,17.9,FALSE POSITIVE,kepler_koi
KEPLER,K03993.01,286.10696,38.107628,0.686994057,3.5252,2797.1,35.3,1.0,5780.0,4.438,136.6,FALSE POSITIVE,kepler_koi
KEPLER,K03994.01,298.0513,43.164909,1.324247867,1.4759,83.3,1.3,1.406,6557.0,4.251,26.5,FALSE POSITIVE,kepler_koi
KEPLER,K03995.01,281.57571,43.068111,0.780632043,1.4109,736.5,79.67,2.18,5354.0,3.754,141.0,FALSE POSITIVE,kepler_koi
KEPLER,K03996.01,289.76114,38.353519,0.730947169,4.396,248.0,14.43,0.826,5514.0,4.569,49.1,FALSE POSITIVE,kepler_koi
KEPLER,K03997.01,291.22318,37.781551,0.552834211,1.2887,145.7,18.09,2.648,5132.0,3.675,30.0,FALSE POSITIVE,kepler_koi
KEPLER,K00381.01,290.20364,38.374931,6.337614357,1.742,1807.4,9.57,1.536,6581.0,4.138,132.7,FALSE POSITIVE,kepler_koi
KEPLER,K03998.01,298.89954,43.395641,0.758354475,4.56811,581782.0,149.44,1.83,7131.0,4.084,1560.5,FALSE POSITIVE,kepler_koi
KEPLER,K04091.01,287.76456,38.294701,225.585245,11.166,754.9,3.71,1.363,5929.0,4.243,18.6,CONFIRMED,kepler_koi
KEPLER,K04092.01,295.78552,39.907921,24.4972683,5.43,449.1,2.74,1.162,6392.0,4.399,19.5,CONFIRMED,kepler_koi
KEPLER,K04093.01,299.75021,44.561981,0.535578808,1.7973,193.6,33.97,1.313,6610.0,4.264,38.3,FALSE POSITIVE,kepler_koi
KEPLER,K04094.01,300.60422,43.902946,3.57017774,4.473,79.6,57.36,69.001,3812.0,0.93,8.9,FALSE POSITIVE,kepler_koi
KEPLER,K00391.01,293.67245,38.985699,25.9525478,21.328,478.4,74.69,2.721,5211.0,3.715,57.0,FALSE POSITIVE,kepler_koi
KEPLER,K04095.01,289.17761,41.695171,1.10601182,2.577,52.9,0.77,1.031,6241.0,4.45,15.5,FALSE POSITIVE,kepler_koi
KEPLER,K04096.01,300.4068,46.378941,6.873655305,3.5415,181.3,1.21,0.912,5668.0,4.492,3.4,FALSE POSITIVE,kepler_koi
KEPLER,K02676.01,298.98038,40.87204,195.613824,23.777,1651.9,10.65,2.229,5970.0,3.835,102.7,FALSE POSITIVE,kepler_koi
KEPLER,K02677.01,294.75769,46.83112,237.787237,10.509,1627.7,9.91,1.853,5185.0,3.936,92.3,CANDIDATE,kepler_koi
KEPLER,K02678.01,292.38855,42.233261,3.833087643,1.51,461.4,2.25,0.831,5397.0,4.543,40.2,CONFIRMED,kepler_koi
KEPLER,K02678.02,292.38855,42.233261,2.2165905,1.0,28.7,0.48,0.831,5397.0,4.543,2.8,CANDIDATE,kepler_koi
KEPLER,K02679.01,297.84125,42.118252,110.7556272,6.819,8067.0,29.64,2.668,6525.0,3.772,48.5,CANDIDATE,kepler_koi
KEPLER,K00282.02,288.45065,40.245327,8.45744892,3.2893,77.4,1.02,1.137,5903.0,4.304,31.0,CONFIRMED,kepler_koi
KEPLER,K02680.01,299.7915,44.281231,14.4079035,2.524,3058.0,23.4,0.728,5440.0,4.617,7.7,FALSE POSITIVE,kepler_koi
KEPLER,K02750.01,295.66913,38.795841,174.636181,15.679,2500.9,11.12,2.232,5974.0,3.859,37.1,CANDIDATE,kepler_koi
KEPLER,K02751.01,287.00909,46.796101,24.4004378,2.987,860.5,2.47,0.674,4583.0,4.606,20.2,CONFIRMED,kepler_koi
KEPLER,K02752.01,295.32401,40.902191,1.287622419,0.821,36.5,0.87,1.274,6170.0,4.308,16.9,FALSE POSITIVE,kepler_koi
KEPLER,K02753.01,284.04233,41.699139,0.935115863,1.6172,64.8,1.05,1.297,5874.0,4.252,21.6,CONFIRMED,kepler_koi
KEPLER,K00285.03,289.08606,41.562958,49.3567907,10.954,130.2,1.91,1.67,5862.0,4.05,35.0,CONFIRMED,kepler_koi
KEPLER,K02754.01,283.74582,48.373432,1.34155642,1.6462,58.2,0.74,0.97,5779.0,4.44,23.7,CONFIRMED,kepler_koi
KEPLER,K02755.01,291.57422,38.655949,8.48299282,2.505,69.1,0.8,0.933,5827.0,4.471,21.3,CONFIRMED,kepler_koi
KEPLER,K02845.01,288.41653,47.878731,1.574090323,1.5796,224.9,0.93,0.65,4313.0,4.662,17.7,CONFIRMED,kepler_koi
KEPLER,K02846.01,290.73154,39.920269,0.947738312,1.206,202.2,0.88,0.638,4464.0,4.643,13.9,FALSE POSITIVE,kepler_koi
KEPLER,K02847.01,290.233,52.33601,1.099291188,1.765,282.6,1.37,0.843,4878.0,4.5,19.8,FALSE POSITIVE,kepler_koi
KEPLER,K02848.01,290.66412,43.49984,13.7872627,5.747,75.1,1.55,1.458,5691.0,4.139,23.9,CONFIRMED,kepler_koi
KEPLER,K00293.01,296.35733,48.86372,4.63958598,2.768,83.4,1.52,1.646,6591.0,4.024,28.1,FALSE POSITIVE,kepler_koi
KEPLER,K02849.01,286.92429,47.053741,5.95958637,2.899,133.1,1.02,0.9,5452.0,4.535,16.1,CONFIRMED,kepler_koi
